admin@boson:~# echo 1 > /sys/kernel/debug/tracing/events/enable
admin@boson:~# echo 1 > /sys/kernel/debug/tracing/tracing_on
admin@boson:~# 
admin@boson:~# ./fbomb
** 49677 printk messages dropped ** [ 1741.711577] f_booste-2073    1....... 1740852747us : sys_exit: NR 186 = 2073
[ 1741.711593] f_booste-2073    1....1.. 1740852748us : sys_gettid -> 0x819
[ 1741.711610] f_booste-2073    1....... 1740852751us : sys_enter: NR 230 (1, 0, 7fd1a6021f30, 0, 0, 0)
[ 1741.711629] f_booste-2073    1....1.. 1740852752us : sys_clock_nanosleep(which_clock: 1, flags: 0, rqtp: 7fd1a6021f30, rmtp: 0)
[ 1741.711647] f_booste-2073    1....... 1740852753us : hrtimer_init: hrtimer=ffffc90004f83e30 clockid=CLOCK_MONOTONIC mode=REL
[ 1741.711664] f_booste-2073    1d...1.. 1740852755us : lock_acquire: ffff880038912e58 hrtimer_bases.lock
[ 1741.711680] f_booste-2073    1d...1.. 1740852756us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.711697] f_booste-2073    1d...1.. 1740852757us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.711717] f_booste-2073    1d...1.. 1740852759us : hrtimer_start: hrtimer=ffffc90004f83e30 function=hrtimer_wakeup expires=1740416051579 softexpires=1740416001579
[ 1741.711735] f_booste-2073    1d...1.. 1740852760us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.711751] f_booste-2073    1d...1.. 1740852761us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.711768] f_booste-2073    1d...1.. 1740852762us : write_msr: 6e0, value 22350352fbe
[ 1741.711784] f_booste-2073    1d...1.. 1740852763us : lock_release: ffff880038912e58 hrtimer_bases.lock
[ 1741.711801] f_booste-2073    1d...1.. 1740852765us : rcu_utilization: Start context switch
[ 1741.711817] f_booste-2073    1d...1.. 1740852766us : rcu_utilization: End context switch
[ 1741.711833] f_booste-2073    1d...2.. 1740852767us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.711851] f_booste-2073    1d...2.. 1740852770us : sched_stat_runtime: comm=f_boosted pid=2073 runtime=40368 [ns] vruntime=26864210713 [ns]
[ 1741.711868] f_booste-2073    1d...2.. 1740852771us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.711885] f_booste-2073    1d...2.. 1740852773us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.711904] f_booste-2073    1d...2.. 1740852776us : sched_switch: prev_comm=f_boosted prev_pid=2073 prev_prio=120 prev_state=S ==> next_comm=f_waker next_pid=2070 next_prio=120
[ 1741.711921] f_booste-2073    1d...2.. 1740852777us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.711940] f_booste-2073    1d...2.. 1740852779us : x86_fpu_regs_deactivated: x86/fpu: ffff8800362ed2c0 fpregs_active: 0 fpstate_active: 1 xfeatures: f81e66000e0020 xcomp_bv: ffffffff81c62740
[ 1741.711959] f_booste-2073    1d...2.. 1740852780us : x86_fpu_regs_activated: x86/fpu: ffff880035e37d40 fpregs_active: 1 fpstate_active: 1 xfeatures: 6765000074725f66 xcomp_bv: 79747465
[ 1741.711977] f_booste-2073    1d...2.. 1740852781us : x86_fpu_regs_activated: x86/fpu: ffff880035e37d40 fpregs_active: 1 fpstate_active: 1 xfeatures: c32b00000078 xcomp_bv: 81802010106
[ 1741.711994] f_booste-2073    1d...2.. 1740852782us : write_msr: c0000100, value 7fd1a69fd700
[ 1741.712494]   <idle>-0       1d...2.. 1740852823us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.712511]   <idle>-0       1d...2.. 1740852824us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.712528]   <idle>-0       1d...1.. 1740852826us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.712544]   <idle>-0       1d...1.. 1740852827us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.712561]   <idle>-0       1d...1.. 1740852830us : cpu_idle: state=1 cpu_id=1
[ 1741.712577]   <idle>-0       1d...1.. 1740853349us : cpu_idle: state=4294967295 cpu_id=1
[ 1741.712594]   <idle>-0       1d..h1.. 1740853351us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.712611]   <idle>-0       1d..h1.. 1740853353us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.712627]   <idle>-0       1d..h1.. 1740853354us : local_timer_entry: vector=239
[ 1741.712644]   <idle>-0       1d..h2.. 1740853355us : lock_acquire: ffff880038912e58 hrtimer_bases.lock
[ 1741.712661]   <idle>-0       1d..h2.. 1740853357us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.712677]   <idle>-0       1d..h2.. 1740853358us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.712694]   <idle>-0       1d..h2.. 1740853359us : hrtimer_cancel: hrtimer=ffffc90004f6be30
[ 1741.712711]   <idle>-0       1d..h2.. 1740853361us : lock_release: ffff880038912e58 hrtimer_bases.lock
[ 1741.712730]   <idle>-0       1d..h1.. 1740853362us : hrtimer_expire_entry: hrtimer=ffffc90004f6be30 function=hrtimer_wakeup now=1740416001930
[ 1741.712748]   <idle>-0       1d..h2.. 1740853363us : lock_acquire: ffff880035e371d8 &p->pi_lock
[ 1741.712765]   <idle>-0       1d..h2.. 1740853364us : sched_waking: comm=f_waker pid=2070 prio=120 target_cpu=001
[ 1741.712782]   <idle>-0       1d..h3.. 1740853366us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.712800]   <idle>-0       1dN.h3.. 1740853371us : sched_wakeup: comm=f_waker pid=2070 prio=120 target_cpu=001
[ 1741.712816]   <idle>-0       1dN.h3.. 1740853373us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.712833]   <idle>-0       1dN.h2.. 1740853374us : lock_release: ffff880035e371d8 &p->pi_lock
[ 1741.712849]   <idle>-0       1dN.h1.. 1740853375us : hrtimer_expire_exit: hrtimer=ffffc90004f6be30
[ 1741.712866]   <idle>-0       1dN.h2.. 1740853376us : lock_acquire: ffff880038912e58 hrtimer_bases.lock
[ 1741.712883]   <idle>-0       1dN.h2.. 1740853377us : hrtimer_cancel: hrtimer=ffffc90004f83e30
[ 1741.712900]   <idle>-0       1dN.h2.. 1740853379us : lock_release: ffff880038912e58 hrtimer_bases.lock
[ 1741.712919]   <idle>-0       1dN.h1.. 1740853380us : hrtimer_expire_entry: hrtimer=ffffc90004f83e30 function=hrtimer_wakeup now=1740416001930
[ 1741.712936]   <idle>-0       1dN.h2.. 1740853381us : lock_acquire: ffff8800362ec758 &p->pi_lock
[ 1741.712954]   <idle>-0       1dN.h2.. 1740853382us : sched_waking: comm=f_boosted pid=2073 prio=120 target_cpu=001
[ 1741.712971]   <idle>-0       1dN.h2.. 1740853383us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.712987]   <idle>-0       1dN.h2.. 1740853386us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.713006]   <idle>-0       1dN.h3.. 1740853387us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.713023]   <idle>-0       1dN.h3.. 1740853391us : sched_wakeup: comm=f_boosted pid=2073 prio=120 target_cpu=001
[ 1741.713040]   <idle>-0       1dN.h3.. 1740853393us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.713056]   <idle>-0       1dN.h2.. 1740853393us : lock_release: ffff8800362ec758 &p->pi_lock
[ 1741.713073]   <idle>-0       1dN.h1.. 1740853394us : hrtimer_expire_exit: hrtimer=ffffc90004f83e30
[ 1741.713090]   <idle>-0       1dN.h2.. 1740853395us : lock_acquire: ffff880038912e58 hrtimer_bases.lock
[ 1741.713107]   <idle>-0       1dN.h2.. 1740853397us : lock_release: ffff880038912e58 hrtimer_bases.lock
[ 1741.713124]   <idle>-0       1dN.h1.. 1740853398us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.713140]   <idle>-0       1dN.h1.. 1740853399us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.713157]   <idle>-0       1dN.h1.. 1740853400us : write_msr: 6e0, value 223503533fe
[ 1741.713173]   <idle>-0       1dN.h1.. 1740853402us : local_timer_exit: vector=239
[ 1741.713190]   <idle>-0       1dN..1.. 1740853406us : rcu_utilization: Start context switch
[ 1741.713206]   <idle>-0       1dN..1.. 1740853407us : rcu_utilization: End context switch
[ 1741.713222]   <idle>-0       1dN..2.. 1740853408us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.713241]   <idle>-0       1d...2.. 1740853412us : sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=f_waker next_pid=2070 next_prio=120
[ 1741.713258]   <idle>-0       1d...2.. 1740853413us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.713277]   <idle>-0       1d...2.. 1740853415us : x86_fpu_regs_activated: x86/fpu: ffff880035e37d40 fpregs_active: 1 fpstate_active: 1 xfeatures: 201000000000816 xcomp_bv: 362ea84000000800
[ 1741.713294]   <idle>-0       1d...2.. 1740853416us : write_msr: c0000100, value 7fd1a69fd700
[ 1741.713311]  f_waker-2070    1d...2.. 1740853417us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.713328]  f_waker-2070    1d...2.. 1740853419us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.713345]  f_waker-2070    1d..h1.. 1740853421us : local_timer_entry: vector=239
[ 1741.713362]  f_waker-2070    1d..h2.. 1740853422us : lock_acquire: ffff880038912e58 hrtimer_bases.lock
[ 1741.713379]  f_waker-2070    1d..h2.. 1740853423us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.713395]  f_waker-2070    1d..h2.. 1740853424us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.713412]  f_waker-2070    1d..h2.. 1740853425us : hrtimer_cancel: hrtimer=ffffc90004f7be30
[ 1741.713429]  f_waker-2070    1d..h2.. 1740853427us : lock_release: ffff880038912e58 hrtimer_bases.lock
[ 1741.713448]  f_waker-2070    1d..h1.. 1740853428us : hrtimer_expire_entry: hrtimer=ffffc90004f7be30 function=hrtimer_wakeup now=1740416067953
[ 1741.713465]  f_waker-2070    1d..h2.. 1740853429us : lock_acquire: ffff8800362e9cd8 &p->pi_lock
[ 1741.713483]  f_waker-2070    1d..h2.. 1740853430us : sched_waking: comm=f_rt pid=2072 prio=92 target_cpu=001
[ 1741.713500]  f_waker-2070    1d..h3.. 1740853431us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.713518]  f_waker-2070    1dN.h3.. 1740853435us : sched_wakeup: comm=f_rt pid=2072 prio=92 target_cpu=001
[ 1741.713534]  f_waker-2070    1dN.h3.. 1740853437us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.713551]  f_waker-2070    1dN.h2.. 1740853438us : lock_release: ffff8800362e9cd8 &p->pi_lock
[ 1741.713568]  f_waker-2070    1dN.h1.. 1740853439us : hrtimer_expire_exit: hrtimer=ffffc90004f7be30
[ 1741.713585]  f_waker-2070    1dN.h2.. 1740853440us : lock_acquire: ffff880038912e58 hrtimer_bases.lock
[ 1741.713602]  f_waker-2070    1dN.h2.. 1740853441us : lock_release: ffff880038912e58 hrtimer_bases.lock
[ 1741.713619]  f_waker-2070    1dN.h1.. 1740853442us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.713636]  f_waker-2070    1dN.h1.. 1740853443us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.713652]  f_waker-2070    1dN.h1.. 1740853445us : write_msr: 6e0, value 2235036cb36
[ 1741.713669]  f_waker-2070    1dN.h1.. 1740853446us : local_timer_exit: vector=239
[ 1741.713685]  f_waker-2070    1dN..1.. 1740853448us : rcu_utilization: Start context switch
[ 1741.713701]  f_waker-2070    1dN..1.. 1740853449us : rcu_utilization: End context switch
[ 1741.713718]  f_waker-2070    1dN..2.. 1740853450us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.713736]  f_waker-2070    1dN..2.. 1740853453us : sched_stat_runtime: comm=f_waker pid=2070 runtime=44044 [ns] vruntime=26864254416 [ns]
[ 1741.713753]  f_waker-2070    1dN..2.. 1740853454us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.713770]  f_waker-2070    1dN..2.. 1740853456us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.713789]  f_waker-2070    1d...2.. 1740853458us : sched_switch: prev_comm=f_waker prev_pid=2070 prev_prio=120 prev_state=R ==> next_comm=f_rt next_pid=2072 next_prio=92
[ 1741.713806]  f_waker-2070    1d...2.. 1740853459us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.713825]  f_waker-2070    1d...2.. 1740853461us : x86_fpu_regs_deactivated: x86/fpu: ffff880035e37d40 fpregs_active: 0 fpstate_active: 1 xfeatures: 0 xcomp_bv: 0
[ 1741.713844]  f_waker-2070    1d...2.. 1740853462us : x86_fpu_regs_activated: x86/fpu: ffff8800362ea840 fpregs_active: 1 fpstate_active: 1 xfeatures: 2b7890c800000000 xcomp_bv: 87000055f3
[ 1741.713862]  f_waker-2070    1d...2.. 1740853463us : x86_fpu_regs_activated: x86/fpu: ffff8800362ea840 fpregs_active: 1 fpstate_active: 1 xfeatures: 101070000a22c xcomp_bv: 2826000000000818
[ 1741.713879]  f_waker-2070    1d...2.. 1740853464us : write_msr: c0000100, value 7fd1a68fb700
[ 1741.713896]     f_rt-2072    1d...2.. 1740853465us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.713913]     f_rt-2072    1d...2.. 1740853466us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.713929]     f_rt-2072    1....... 1740853469us : sys_exit: NR 230 = 0
[ 1741.713946]     f_rt-2072    1....1.. 1740853469us : sys_clock_nanosleep -> 0x0
[ 1741.713962]     f_rt-2072    1d..h... 1740853489us : local_timer_entry: vector=239
[ 1741.713979]     f_rt-2072    1d..h1.. 1740853491us : lock_acquire: ffff880038912e58 hrtimer_bases.lock
[ 1741.713996]     f_rt-2072    1d..h1.. 1740853493us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.714012]     f_rt-2072    1d..h1.. 1740853494us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.714029]     f_rt-2072    1d..h1.. 1740853495us : hrtimer_cancel: hrtimer=ffffc90004f73c40
[ 1741.714046]     f_rt-2072    1d..h1.. 1740853497us : lock_release: ffff880038912e58 hrtimer_bases.lock
[ 1741.714065]     f_rt-2072    1d..h... 1740853498us : hrtimer_expire_entry: hrtimer=ffffc90004f73c40 function=hrtimer_wakeup now=1740416137740
[ 1741.714082]     f_rt-2072    1d..h1.. 1740853499us : lock_acquire: ffff880035e35c98 &p->pi_lock
[ 1741.714100]     f_rt-2072    1d..h1.. 1740853500us : sched_waking: comm=f_waiter pid=2071 prio=120 target_cpu=001
[ 1741.714117]     f_rt-2072    1d..h2.. 1740853501us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.714134]     f_rt-2072    1d..h2.. 1740853505us : sched_wakeup: comm=f_waiter pid=2071 prio=120 target_cpu=001
[ 1741.714151]     f_rt-2072    1d..h2.. 1740853507us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.714168]     f_rt-2072    1d..h1.. 1740853508us : lock_release: ffff880035e35c98 &p->pi_lock
[ 1741.714184]     f_rt-2072    1d..h... 1740853509us : hrtimer_expire_exit: hrtimer=ffffc90004f73c40
[ 1741.714201]     f_rt-2072    1d..h1.. 1740853510us : lock_acquire: ffff880038912e58 hrtimer_bases.lock
[ 1741.714218]     f_rt-2072    1d..h1.. 1740853511us : lock_release: ffff880038912e58 hrtimer_bases.lock
[ 1741.714234]     f_rt-2072    1d..h... 1740853512us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.714251]     f_rt-2072    1d..h... 1740853513us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.714267]     f_rt-2072    1d..h... 1740853514us : write_msr: 6e0, value 2235085849a
[ 1741.714283]     f_rt-2072    1d..h... 1740853516us : local_timer_exit: vector=239
[ 1741.714302]     f_rt-2072    1....... 1740855474us : sys_enter: NR 186 (7fd1a68faee0, 1952014f800, 18, 18ebed11f93dc6, 7ffccfabc080, 6cc)
[ 1741.714318]     f_rt-2072    1....1.. 1740855475us : sys_gettid()
[ 1741.714334]     f_rt-2072    1d...... 1740855476us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.714351]     f_rt-2072    1d...... 1740855478us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.714367]     f_rt-2072    1....... 1740855479us : sys_exit: NR 186 = 2072
[ 1741.714383]     f_rt-2072    1....1.. 1740855479us : sys_gettid -> 0x818
[ 1741.714401]     f_rt-2072    1....... 1740855482us : sys_enter: NR 202 (55f32b7890c8, 86, 0, 0, 0, 0)
[ 1741.714421]     f_rt-2072    1....1.. 1740855483us : sys_futex(uaddr: 55f32b7890c8, op: 86, val: 0, utime: 0, uaddr2: 0, val3: 0)
[ 1741.714438]     f_rt-2072    1d...111 1740855486us : lock_acquire: ffffc900009943a0 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.714458]     f_rt-2072    1d...111 1740855488us : lock_release: ffffc900009943a0 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.714475]     f_rt-2072    1d....11 1740855490us : lock_acquire: ffffc90000994408 &futex_queues[i].lock
[ 1741.714492]     f_rt-2072    1d....11 1740855491us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.714509]     f_rt-2072    1d....11 1740855493us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.714526]     f_rt-2072    1d....11 1740855494us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.714543]     f_rt-2072    1d....11 1740855496us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.714560]     f_rt-2072    1d...111 1740855497us : lock_acquire: ffff8800362ec758 &p->pi_lock
[ 1741.714577]     f_rt-2072    1d...111 1740855499us : lock_release: ffff8800362ec758 &p->pi_lock
[ 1741.714594]     f_rt-2072    1d...111 1740855501us : lock_acquire: ffff880031b654a8 &(lock)->wait_lock
[ 1741.714611]     f_rt-2072    1d...111 1740855502us : lock_release: ffffc90000994408 &futex_queues[i].lock
[ 1741.714629]     f_rt-2072    1d...211 1740855504us : lock_acquire: ffffc900009943a0 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.714646]     f_rt-2072    1d...211 1740855505us : lock_release: ffffc900009943a0 &(&(&(__futex_data.queues)[i].lock)->lock)->wait_lock
[ 1741.714663]     f_rt-2072    1d...211 1740855507us : lock_acquire: ffff8800362e9cd8 &p->pi_lock
[ 1741.714680]     f_rt-2072    1d...211 1740855508us : lock_release: ffff8800362e9cd8 &p->pi_lock
[ 1741.714697]     f_rt-2072    1d...211 1740855509us : lock_acquire: ffff8800362e9cd8 &p->pi_lock
[ 1741.714714]     f_rt-2072    1d...211 1740855510us : lock_release: ffff8800362e9cd8 &p->pi_lock
[ 1741.714731]     f_rt-2072    1d...211 1740855511us : lock_acquire: ffff8800362ec758 &p->pi_lock
[ 1741.714748]     f_rt-2072    1d...311 1740855513us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.714767]     f_rt-2072    1d...311 1740855515us : sched_pi_setprio: comm=f_boosted pid=2073 oldprio=120 newprio=92
[ 1741.714784]     f_rt-2072    1d...411 1740855522us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.714801]     f_rt-2072    1d...411 1740855523us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.714818]     f_rt-2072    1d...411 1740855525us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.714835]     f_rt-2072    1d...411 1740855527us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.714852]     f_rt-2072    1d...411 1740855529us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.714869]     f_rt-2072    1d...411 1740855530us : lock_acquire: ffff8800388179d8 &rq->lock
[ 1741.714886]     f_rt-2072    1d...511 1740855530us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.714903]     f_rt-2072    1d...511 1740855534us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.714920]     f_rt-2072    1d...511 1740855536us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.714938]     f_rt-2072    1d...511 1740855538us : sched_migrate_task: comm=f_boosted pid=2073 prio=92 orig_cpu=1 dest_cpu=0
[ 1741.714955]     f_rt-2072    1d...511 1740855541us : sched_wake_idle_without_ipi: cpu=0
[ 1741.714972]   <idle>-0       0dN..1.. 1740855542us : cpu_idle: state=4294967295 cpu_id=0
[ 1741.714989]     f_rt-2072    1d...511 1740855542us : lock_release: ffff8800388179d8 &rq->lock
[ 1741.715006]   <idle>-0       0dN..1.. 1740855544us : lock_acquire: ffffffff81c62740 read rcu_read_lock
